0,182.0,51.68,-0.51,70,7.4,15.3,0.5
1,146.0,51.68,-0.5,138,7.4,30.7,0.5
2,426.0,51.68,-0.49,116,7.4,33.0,0.5
3,258.0,51.68,-0.48,111,7.4,34.4,0.5
4,179.0,51.68,-0.47,105,7.4,35.6,0.5
5,171.0,51.68,-0.46,96,7.4,30.2,0.5
6,159.0,51.68,-0.45,87,7.4,36.0,0.5
7,165.0,51.68,-0.44,99,7.4,36.0,0.5
8,428.0,51.68,-0.43,62,7.4,5.3,0.5
9,264.0,51.68,-0.42,98,7.4,18.3,0.5
10,521.0,51.68,-0.41,100,7.4,19.4,0.5
11,994.0,51.68,-0.4,91,7.4,24.8,0.5
12,58.0,51.68,-0.39,80,7.4,20.2,0.5
13,254.0,51.68,-0.38,65,7.4,18.2,0.5
14,443.0,51.68,-0.37,57,7.4,36.0,0.5
15,203.0,51.68,-0.36,76,7.4,36.0,0.5
16,128.0,51.68,-0.35,91,7.4,28.3,0.5
17,285.0,51.68,-0.34,100,7.4,27.8,0.5
18,326.0,51.68,-0.33,95,7.4,13.6,0.5
19,410.0,51.68,-0.32,99,7.4,26.5,0.5
20,292.0,51.68,-0.31,77,7.4,36.0,0.5
21,401.0,51.68,-0.3,99,7.4,36.0,0.5
22,142.0,51.68,-0.29,117,7.4,36.0,0.5
23,180.0,51.68,-0.28,129,7.4,30.7,0.5
24,226.0,51.68,-0.27,123,7.4,36.0,0.5
25,224.0,51.68,-0.26,121,7.4,36.0,0.5
26,146.0,51.68,-0.25,117,7.4,36.0,0.5
27,108.0,51.68,-0.24,108,7.4,36.0,0.5
28,124.0,51.68,-0.23,92,7.4,22.1,0.5
29,221.0,51.68,-0.22,93,7.4,36.0,0.5
30,225.0,51.68,-0.21,116,7.4,26.3,0.5
31,115.0,51.68,-0.2,128,7.4,36.0,0.5
32,116.0,51.68,-0.19,133,7.4,36.0,0.5
33,175.0,51.68,-0.18,117,7.4,36.0,0.5
34,300.0,51.68,-0.17,99,7.4,36.0,0.5
35,186.0,51.68,-0.16,82,7.4,36.0,0.5
36,147.0,51.68,-0.15,94,7.4,36.0,0.5
37,201.0,51.68,-0.14,93,7.4,36.0,0.5
38,357.0,51.68,-0.13,74,7.4,36.0,0.5
39,368.0,51.68,-0.12,64,7.4,36.0,0.5
40,368.0,51.68,-0.11,67,7.4,36.0,0.5
41,201.0,51.68,-0.1,50,7.4,26.6,0.5
42,142.0,51.68,-0.09,48,7.4,36.0,0.5
43,190.0,51.68,-0.08,60,7.4,35.1,0.5
44,188.0,51.68,-0.07,45,7.4,36.0,0.5
45,235.0,51.68,-0.06,38,7.4,31.1,0.5
46,543.0,51.68,-0.05,26,7.4,34.2,0.5
47,431.0,51.68,-0.04,20,7.4,34.1,0.5
48,569.0,51.68,-0.03,19,7.4,34.7,0.5
49,306.0,51.68,-0.02,22,7.4,36.0,0.5
50,340.0,51.68,-0.01,19,7.4,31.5,0.5
51,504.0,51.68,0.0,19,7.4,32.1,0.5
52,313.0,51.68,0.01,26,7.4,27.3,0.5
53,336.0,51.68,0.02,31,7.4,29.1,0.5
54,163.0,51.68,0.03,38,7.4,24.6,0.5
55,132.0,51.68,0.04,52,7.4,22.9,0.5
56,170.0,51.68,0.05,92,7.4,33.6,0.5
57,169.0,51.68,0.06,99,7.4,36.0,0.5
58,168.0,51.68,0.07,125,7.4,35.8,0.5
59,407.0,51.68,0.08,123,7.4,34.3,0.5
60,541.0,51.68,0.09,108,7.4,30.0,0.5
61,526.0,51.68,0.1,70,7.4,31.4,0.5
62,508.0,51.68,0.11,48,7.4,29.6,0.5
63,230.0,51.68,0.12,55,7.4,28.0,0.5
64,226.0,51.68,0.13,43,7.4,26.4,0.5
65,215.0,51.68,0.14,36,7.4,25.3,0.5
66,189.0,51.68,0.15,59,7.4,20.5,0.5
67,85.0,51.68,0.16,72,7.4,15.8,0.5
68,92.0,51.68,0.17,89,7.4,12.1,0.5
69,85.0,51.68,0.18,75,7.4,11.8,0.5
70,174.0,51.68,0.19,76,7.4,9.8,0.5
71,248.0,51.68,0.2,66,7.4,10.6,0.5
72,143.0,51.68,0.21,58,7.4,11.3,0.5
73,192.0,51.68,0.22,56,7.4,10.7,0.5
74,233.0,51.68,0.23,42,7.4,12.2,0.5
75,124.0,51.67,-0.51,100,7.4,28.7,0.5
76,140.0,51.67,-0.5,71,7.4,24.4,0.5
77,173.0,51.67,-0.49,101,7.4,32.1,0.5
78,121.0,51.67,-0.48,116,7.4,26.5,0.5
79,139.0,51.67,-0.47,93,7.4,28.9,0.5
80,165.0,51.67,-0.46,95,7.4,27.3,0.5
81,214.0,51.67,-0.45,80,7.4,24.3,0.5
82,203.0,51.67,-0.44,78,7.4,36.0,0.5
83,314.0,51.67,-0.43,76,7.4,29.7,0.5
84,892.0,51.67,-0.42,73,7.4,3.4,0.5
85,265.0,51.67,-0.41,88,7.4,23.4,0.5
86,265.0,51.67,-0.4,78,7.4,23.9,0.5
87,249.0,51.67,-0.39,66,7.4,9.6,0.5
88,312.0,51.67,-0.38,58,7.4,19.7,0.5
89,610.0,51.67,-0.37,73,7.4,36.0,0.5
90,91.0,51.67,-0.36,72,7.4,31.8,0.5
91,240.0,51.67,-0.35,85,7.4,36.0,0.5
92,114.0,51.67,-0.34,90,7.4,35.5,0.5
93,263.0,51.67,-0.33,90,7.4,25.1,0.5
94,241.0,51.67,-0.32,88,7.4,36.0,0.5
95,129.0,51.67,-0.31,82,7.4,36.0,0.5
96,410.0,51.67,-0.3,80,7.4,36.0,0.5
